Time_[s],TwHt1ALxt_[m/s^2],TwHt1ALyt_[m/s^2],TwHt2ALxt_[m/s^2],TwHt2ALyt_[m/s^2],TwHt3ALxt_[m/s^2],TwHt3ALyt_[m/s^2],TwHt4ALxt_[m/s^2],TwHt4ALyt_[m/s^2],TwHt5ALxt_[m/s^2],TwHt5ALyt_[m/s^2],TwHt6ALxt_[m/s^2],TwHt6ALyt_[m/s^2],TwHt7ALxt_[m/s^2],TwHt7ALyt_[m/s^2],TwHt8ALxt_[m/s^2],TwHt8ALyt_[m/s^2],TwHt9ALxt_[m/s^2],TwHt9ALyt_[m/s^2],TwHt1MLxt_[kN-m],TwHt1MLyt_[kN-m],TwHt2MLxt_[kN-m],TwHt2MLyt_[kN-m],TwHt3MLxt_[kN-m],TwHt3MLyt_[kN-m],TwHt4MLxt_[kN-m],TwHt4MLyt_[kN-m],TwHt5MLxt_[kN-m],TwHt5MLyt_[kN-m],TwHt6MLxt_[kN-m],TwHt6MLyt_[kN-m],TwHt7MLxt_[kN-m],TwHt7MLyt_[kN-m],TwHt8MLxt_[kN-m],TwHt8MLyt_[kN-m],TwHt9MLxt_[kN-m],TwHt9MLyt_[kN-m]
0.0000,0,0.0039733866,0,0.0079467732,0,0.01192016,0,0.015893546,0,0.019866933,0,0.02384032,0,0.027813706,0,0.031787093,0,0.03576048,9.9833417,14.943813,19.966683,29.887626,29.950025,44.83144,39.933367,59.775253,49.916708,74.719066,59.90005,89.662879,69.883392,104.60669,79.866733,119.55051,89.850075,134.49432
0.0125,0.00084797575,0.004770383,0.0016959515,0.009540766,0.0025439272,0.014311149,0.003391903,0.019081532,0.0042398787,0.023851915,0.0050878545,0.028622298,0.0059358302,0.033392681,0.006783806,0.038163064,0.0076317817,0.042933447,14.037554,19.122645,28.075109,38.24529,42.112663,57.367934,56.150218,76.490579,70.187772,95.613224,84.225327,114.73587,98.262881,133.85851,112.30044,152.98116,126.33799,172.1038
0.0250,0.0016944264,0.0055594237,0.0033888529,0.011118847,0.0050832793,0.016678271,0.0067777058,0.022237695,0.0084721322,0.027797118,0.010166559,0.033356542,0.011860985,0.038915966,0.013555412,0.04447539,0.015249838,0.050034813,18.068356,23.267085,36.136713,46.53417,54.205069,69.801255,72.273425,93.068339,90.341782,116.33542,108.41014,139.60251,126.47849,162.86959,144.54685,186.13668,162.61521,209.40376
0.0375,0.0025378298,0.0063391927,0.0050756595,0.012678385,0.0076134893,0.019017578,0.010151319,0.025356771,0.012689149,0.031695964,0.015226979,0.038035156,0.017764808,0.044374349,0.020302638,0.050713542,0.022840468,0.057052735,22.069025,27.36968,44.13805,54.73936,66.207075,82.10904,88.2761,109.47872,110.34513,136.8484,132.41415,164.21808,154.48318,191.58776,176.5522,218.95744,198.62123,246.32712
0.0500,0.0033766689,0.0071083897,0.0067533378,0.014216779,0.010130007,0.021325169,0.013506676,0.028433559,0.016883344,0.035541949,0.020260013,0.042650338,0.023636682,0.049758728,0.027013351,0.056867118,0.03039002,0.063975508,26.032889,31.423051,52.065777,62.846103,78.098666,94.269154,104.13155,125.69221,130.16444,157.11526,156.19733,188.53831,182.23022,219.96136,208.26311,251.38441,234.296,282.80746
0.0625,0.0042094352,0.0078657318,0.0084188704,0.015731464,0.012628306,0.023597195,0.016837741,0.031462927,0.021047176,0.039328659,0.025256611,0.047194391,0.029466046,0.055060123,0.033675482,0.062925855,0.037884917,0.070791586,29.953336,35.41991,59.906672,70.83982,89.860009,106.25973,119.81334,141.67964,149.76668,177.09955,179.72002,212.51946,209.67335,247.93937,239.62669,283.35928,269.58003,318.77919
0.0750,0.005034631,0.008609956,0.010069262,0.017219912,0.015103893,0.025829868,0.020138524,0.034439824,0.025173155,0.04304978,0.030207786,0.051659736,0.035242417,0.060269692,0.040277048,0.068879648,0.045311679,0.077489604,33.82383,39.353067,67.64766,78.706133,101.47149,118.0592,135.29532,157.41227,169.11915,196.76533,202.94298,236.1184,236.76681,275.47147,270.59064,314.82453,304.41447,354.1776
0.0875,0.0058507721,0.0093398211,0.011701544,0.018679642,0.017552316,0.028019463,0.023403089,0.037359284,0.029253861,0.046699105,0.035104633,0.056038926,0.040955405,0.065378747,0.046806177,0.074718569,0.052656949,0.08405839,37.637914,43.215448,75.275829,86.430897,112.91374,129.64634,150.55166,172.86179,188.18957,216.07724,225.82749,259.29269,263.4654,302.50814,301.10331,345.72359,338.74123,388.93903
0.1000,0.0066563909,0.01005411,0.013312782,0.02010822,0.019969173,0.03016233,0.026625564,0.040216439,0.033281954,0.050270549,0.039938345,0.060324659,0.046594736,0.070378769,0.053251127,0.080432879,0.059907518,0.090486989,41.389229,47.000108,82.778458,94.000217,124.16769,141.00033,165.55692,188.00043,206.94614,235.00054,248.33537,282.00065,289.7246,329.00076,331.11383,376.00087,372.50306,423.00098
0.1125,0.0074500384,0.010751631,0.014900077,0.021503262,0.022350115,0.032254893,0.029800153,0.043006524,0.037250192,0.053758155,0.04470023,0.064509786,0.052150268,0.075261417,0.059600307,0.086013048,0.067050345,0.096764679,45.071517,50.700241,90.143035,101.40048,135.21455,152.10072,180.28607,202.80096,225.35759,253.5012,270.4291,304.20144,315.50062,354.90168,360.57214,405.60192,405.64366,456.30216
